Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Standard Deviation
0x8f4683855dfc2126eb86ae6f017b9062b4816aaf728a2e23897e6a1b3599137a,12369714,1620157618,5/4/2021 19:46,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x6ca3418499a2283710ef24f40205aae7beb428d0,15005.39549,4052.491137
0xa00ea4c0026d704f61a5d2da4b1baa56d91af1a545c7ada497e8e7203a2940de,12369715,1620157619,5/4/2021 19:46,0x170ae47ba9b913c33f038aa011b5b83935e86091,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,9498.359316,-2061.962999
0xffca652dbac26ce28aeac6d89ad56a701f9487f578c9dbe9d6797dcff67a7820,12369719,1620157648,5/4/2021 19:47,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x4cbefba4564e8eababe61d52772c8c47fa473699,5000,64903.71739
0x8fe32dcda486efc3313fea5f8bdb5dd67dcfed9cffecaf7ae65a1a3ac40c68de,12369720,1620157651,5/4/2021 19:47,0x4a64b2820a06a67ee878157a7f48611463d6bd78,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,4932.600763,1948.313177
0x4e2b2636a40ac27dc9e6a993370fa79f48b4ea65278dcda8402312817854c71b,12369726,1620157832,5/4/2021 19:50,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xf34feb6719f10debba83cc66960ab2b72fe73b5e,5930.084707,40166.98558
0xf312564e4dd15a3e14f4164f3ed9ecb5fd5c59296d36563ef7df36b7fec14f6d,12369726,1620157832,5/4/2021 19:50,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xa574225ffa9b40db38d387b041484c0c1a499098,6084.651327,25975.36151
0x61b4412b78fa03e658b859dc01f0d85eaa5f5ba23ba9fd23c331f1a505f6ffdf,12369736,1620157933,5/4/2021 19:52,0xcae46a7aec75320cb2c3ef014db0aca3ce612d68,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,25000,15482.45323
0xee8fe54026d6b08b340ecae6c3fa8346482fd40ec6928133ebc1654d86fd1872,12369740,1620157985,5/4/2021 19:53,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x59903993ae67bf48f10832e9be28935fee04d6f6,13308.71357,-35638.15676
0x55cadf37e9478b7d6a9a431ab8be261578002d82bf38aa09628574f2be233282,12369740,1620157985,5/4/2021 19:53,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x3ce630f7bc2e9fd32fab844601795196e917dbda,6529.362349,-24468.78285
0x7b9dd02990efbc1e65b76306deba8f66d94dad53f7df1d9537eb10e5825067a8,12369740,1620157985,5/4/2021 19:53,0x59903993ae67bf48f10832e9be28935fee04d6f6,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,13308.71357,27398.16479
